      Date : 30.Aug.2019                                Time : 9:44:52 AM

                            Input Data : PV
                            Controller : Proportional Control
                            Set Point  : 15.00
                                    kp : 3.00

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          24.16           3.73           0.75         100.00           45.1
          24.29           3.82           0.76         100.00          44.71
          24.41           3.92           0.78         100.00          44.31
          24.55           4.02            0.8         100.00          43.92
          24.70           4.02            0.8         100.00          43.92
          24.82           4.12           0.82         100.00          43.53
          24.96           4.12           0.82         100.00          43.53
          25.09           4.22           0.84         100.00          43.14
          25.21           4.31           0.86         100.00          42.75
          25.34           4.31           0.86         100.00          42.75
          25.46           4.41           0.88         100.00          42.35
          25.58           4.51            0.9         100.00          41.96
          25.71           4.51            0.9         100.00          41.96
          25.83           4.61           0.92         100.00          41.57
          25.97           4.71           0.94         100.00          41.18
          26.11           4.71           0.94         100.00          41.18
          26.24           4.80           0.96         100.00          40.78
          26.36           4.80           0.96         100.00          40.78
          26.49           4.90           0.98         100.00          40.39
          26.63           4.90           0.98         100.00          40.39
          26.75           5.00            1.0         100.00           40.0
          26.88           5.10           1.02         100.00          39.61
          27.00           5.10           1.02         100.00          39.61
          27.13           5.20           1.04         100.00          39.22
          27.25           5.20           1.04         100.00          39.22
          27.38           5.29           1.06         100.00          38.82
          27.50           5.29           1.06         100.00          38.82
          27.63           5.29           1.06         100.00          38.82
          27.75           5.39           1.08         100.00          38.43
          27.88           5.49            1.1         100.00          38.04
          28.00           5.49            1.1         100.00          38.04
          28.13           5.59           1.12         100.00          37.65
          28.25           5.59           1.12         100.00          37.65
          28.38           5.69           1.14         100.00          37.25
          28.50           5.69           1.14         100.00          37.25
          28.63           5.78           1.16         100.00          36.86
          28.75           5.78           1.16         100.00          36.86
          28.88           5.88           1.18         100.00          36.47
          29.00           5.88           1.18         100.00          36.47
          29.13           5.98            1.2         100.00          36.08
          29.25           5.98            1.2         100.00          36.08
          29.38           6.08           1.22         100.00          35.69
          29.52           6.18           1.24         100.00          35.29
          29.66           6.18           1.24         100.00          35.29
          29.78           6.18           1.24         100.00          35.29
          29.91           6.27           1.25         100.00           34.9
          30.03           6.37           1.27         100.00          34.51
          30.17           6.37           1.27         100.00          34.51
          30.29           6.47           1.29         100.00          34.12
          30.42           6.47           1.29         100.00          34.12
          30.54           6.57           1.31         100.00          33.73
          30.67           6.57           1.31         100.00          33.73
          30.81           6.67           1.33         100.00          33.33
          30.93           6.67           1.33         100.00          33.33
          31.07           6.76           1.35         100.00          32.94
          31.21           6.76           1.35         100.00          32.94
          31.34           6.86           1.37         100.00          32.55
          31.46           6.86           1.37         100.00          32.55
          31.59           6.96           1.39         100.00          32.16
          31.71           6.96           1.39         100.00          32.16
          31.84           7.06           1.41         100.00          31.76
          31.96           7.06           1.41         100.00          31.76
          32.09           7.06           1.41         100.00          31.76
          32.21           7.16           1.43         100.00          31.37
          32.34           7.16           1.43         100.00          31.37
          32.46           7.25           1.45         100.00          30.98
          32.59           7.25           1.45         100.00          30.98
          32.71           7.35           1.47         100.00          30.59
          32.84           7.35           1.47         100.00          30.59
          32.96           7.45           1.49         100.00           30.2
          33.09           7.45           1.49         100.00           30.2
          33.21           7.55           1.51         100.00           29.8
          33.34           7.55           1.51         100.00           29.8
          33.46           7.65           1.53         100.00          29.41
          33.59           7.65           1.53         100.00          29.41
          33.71           7.75           1.55         100.00          29.02
          33.84           7.75           1.55         100.00          29.02
          33.96           7.84           1.57         100.00          28.63
          34.09           7.84           1.57         100.00          28.63
          34.21           7.94           1.59         100.00          28.24
          34.34           8.04           1.61         100.00          27.84
          34.46           8.04           1.61         100.00          27.84
          34.59           8.14           1.63         100.00          27.45
          34.71           8.14           1.63         100.00          27.45
          34.84           8.24           1.65         100.00          27.06
          34.96           8.24           1.65         100.00          27.06
          35.09           8.33           1.67         100.00          26.67
          35.21           8.33           1.67         100.00          26.67
          35.33           8.33           1.67         100.00          26.67
          35.46           8.43           1.69         100.00          26.27
          35.58           8.43           1.69         100.00          26.27
          35.71           8.53           1.71         100.00          25.88
          35.83           8.63           1.73         100.00          25.49
          35.96           8.63           1.73         100.00          25.49
          36.08           8.63           1.73         100.00          25.49
          36.21           8.73           1.75         100.00           25.1
          36.33           8.82           1.76         100.00          24.71
          36.46           8.82           1.76         100.00          24.71
          36.58           8.82           1.76         100.00          24.71
          36.71           8.92           1.78         100.00          24.31
          36.85           9.02            1.8         100.00          23.92
          36.97           9.02            1.8         100.00          23.92
          37.10           9.12           1.82         100.00          23.53
          37.22           9.12           1.82         100.00          23.53
          37.35           9.12           1.82         100.00          23.53
          37.47           9.22           1.84         100.00          23.14
          37.60           9.22           1.84         100.00          23.14
          37.72           9.31           1.86         100.00          22.75
          37.85           9.41           1.88         100.00          22.35
          37.97           9.41           1.88         100.00          22.35
          38.09           9.41           1.88         100.00          22.35
          38.22           9.51            1.9         100.00          21.96
          38.34           9.61           1.92         100.00          21.57
          38.47           9.61           1.92         100.00          21.57
          38.59           9.61           1.92         100.00          21.57
          38.73           9.71           1.94         100.00          21.18
          38.86           9.71           1.94         100.00          21.18
          38.98           9.80           1.96         100.00          20.78
          39.11           9.90           1.98         100.00          20.39
          39.25           9.90           1.98         100.00          20.39
          39.38           9.90           1.98         100.00          20.39
          39.50          10.00            2.0         100.00           20.0
          39.63          10.10           2.02         100.00          19.61
          39.75          10.10           2.02         100.00          19.61
          39.88          10.10           2.02         100.00          19.61
          40.00          10.20           2.04         100.00          19.22
          40.12          10.29           2.06         100.00          18.82
          40.27          10.29           2.06         100.00          18.82
          40.39          10.39           2.08         100.00          18.43
          40.51          10.39           2.08         100.00          18.43
          40.64          10.49            2.1         100.00          18.04
          40.78          10.49            2.1         100.00          18.04
          40.90          10.59           2.12         100.00          17.65
          41.04          10.59           2.12         100.00          17.65
          41.17          10.69           2.14         100.00          17.25
          41.31          10.69           2.14         100.00          17.25
          41.43          10.78           2.16         100.00          16.86
          41.57          10.78           2.16         100.00          16.86
          41.70          10.88           2.18          99.41          16.47
          41.82          10.88           2.18          99.41          16.47
          41.95          10.88           2.18          99.41          16.47
          42.07          10.98            2.2          98.24          16.08
          42.20          11.08           2.22          97.06          15.69
