      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          41.76           3.14           0.63         100.00          47.45
          41.88           3.14           0.63         100.00          47.45
          42.01           3.24           0.65         100.00          47.06
          42.13           3.24           0.65         100.00          47.06
          42.26           3.33           0.67         100.00          46.67
          42.38           3.33           0.67         100.00          46.67
          42.51           3.43           0.69         100.00          46.27
          42.63           3.43           0.69         100.00          46.27
          42.76           3.43           0.69         100.00          46.27
          42.88           3.53           0.71         100.00          45.88
          43.01           3.53           0.71         100.00          45.88
          43.13           3.63           0.73         100.00          45.49
          43.26           3.63           0.73         100.00          45.49
          43.38           3.73           0.75         100.00           45.1
          43.51           3.73           0.75         100.00           45.1
          43.63           3.82           0.76         100.00          44.71
          43.76           3.82           0.76         100.00          44.71
          43.88           3.92           0.78         100.00          44.31
          44.02           3.92           0.78         100.00          44.31
          44.16           4.02            0.8         100.00          43.92
          44.30           4.02            0.8         100.00          43.92
          44.45           4.12           0.82         100.00          43.53
          44.57           4.12           0.82         100.00          43.53
          44.71           4.22           0.84         100.00          43.14
          44.83           4.22           0.84         100.00          43.14
          44.97           4.31           0.86         100.00          42.75
          45.10           4.31           0.86         100.00          42.75
          45.24           4.41           0.88         100.00          42.35
          45.38           4.41           0.88         100.00          42.35
          45.50           4.51            0.9         100.00          41.96
          45.64           4.61           0.92         100.00          41.57
          45.77           4.61           0.92         100.00          41.57
          45.91           4.61           0.92         100.00          41.57
          46.04           4.71           0.94         100.00          41.18
          46.18           4.71           0.94         100.00          41.18
          46.32           4.80           0.96         100.00          40.78
          46.44           4.80           0.96         100.00          40.78
          46.58           4.90           0.98         100.00          40.39
          46.71           4.90           0.98         100.00          40.39
          46.84           5.00            1.0         100.00           40.0
          46.97           5.00            1.0         100.00           40.0
          47.11           5.10           1.02         100.00          39.61
          47.25           5.10           1.02         100.00          39.61
          47.39           5.20           1.04         100.00          39.22
          47.53           5.29           1.06         100.00          38.82
          47.67           5.29           1.06         100.00          38.82
          47.80           5.29           1.06         100.00          38.82
          47.92           5.39           1.08         100.00          38.43
          48.05           5.39           1.08         100.00          38.43
          48.17           5.39           1.08         100.00          38.43
